Dataset	Sample	SampleCode	Z_Africa1	Z_Africa2	Z_CentralAsia	Z_CentralEurope	Z_EastAsia	Z_FarEastAsia	Z_India	Z_NativeAmerica	Z_Scandinavia	Z_SouthEastAsia	Z_SouthEurope	Z_UK	Code
CHS	HG00406	HG00406	0.0	0.0	0.0	0.0	0.2696629213483146	0.0	0.0	0.0	0.0	0.7303370786516854	0.0	0.0	4
GIH	NA20874	NA20874	0.0	0.0	0.2	0.0	0.0	0.0	0.48	0.0	0.32	0.0	0.0	0.0	4
KHV	HG01860	HG01860	0.0	0.0	0.0	0.0	0.8791208791208791	0.0	0.12087912087912088	0.0	0.0	0.0	0.0	0.0	4
YRI	NA18523	NA18523	0.0	0.8695652173913043	0.0	0.0	0.0	0.0	0.0	0.13043478260869565	0.0	0.0	0.0	0.0	2
STU	HG03646	HG03646	0.0	0.0	0.0	0.0	0.17171717171717174	0.0	0.41414141414141414	0.30303030303030304	0.0	0.0	0.0	0.11111111111111112	4
MSL	HG03082	HG03082	0.11	0.42	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	2
CDX	HG01798	HG01798	0.0	0.21875	0.0	0.0	0.0	0.2916666666666667	0.14583333333333334	0.0	0.0	0.15625	0.1875	0.0	4
ASW	NA19711	NA19711	0.0	0.46875	0.0	0.0	0.0	0.0	0.0	0.0	0.23958333333333331	0.0	0.0	0.2916666666666667	2
IBS	HG01501	HG01501	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.0	0.42	0.0	0.15	0.0	1
GWD	HG02574	HG02574	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
CDX	HG00881	HG00881	0.0	0.0	0.0	0.0	0.18292682926829265	0.8170731707317073	0.0	0.0	0.0	0.0	0.0	0.0	4
GIH	NA20847	NA20847	0.0	0.0	0.0	0.0	0.0	0.0	0.43820224719101125	0.5617977528089888	0.0	0.0	0.0	0.0	4
MSL	HG03410	HG03410	0.26436781609195403	0.735632183908046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
ITU	HG03774	HG03774	0.0	0.0	0.0	0.0	0.0	0.13953488372093023	0.0	0.4069767441860465	0.0	0.0	0.4534883720930233	0.0	4
MSL	HG03439	HG03439	0.381578947368421	0.6184210526315789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
TSI	NA20520	NA20520	0.0	0.0	0.1395348837209302	0.0	0.0	0.0	0.49999999999999994	0.0	0.36046511627906974	0.0	0.0	0.0	1
CEU	NA10847	NA10847	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5050505050505051	0.0	0.494949494949495	0.0	1
GBR	HG00118	HG00118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1958762886597938	0.0	0.23711340206185566	0.5670103092783505	1
STU	HG03687	HG03687	0.0	0.0	0.0	0.0	0.0	0.0	0.3505154639175258	0.0	0.0	0.0	0.0	0.6494845360824743	4
GWD	HG02614	HG02614	0.11	0.74	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	2
KHV	HG01846	HG01846	0.0	0.0	0.0	0.0	0.8775510204081632	0.12244897959183673	0.0	0.0	0.0	0.0	0.0	0.0	4
GIH	NA20876	NA20876	0.0	0.0	0.0	0.0	0.0	0.0	0.4591836734693877	0.11224489795918366	0.0	0.32653061224489793	0.10204081632653061	0.0	4
LWK	NA19031	NA19031	0.0	0.3763440860215053	0.0	0.15053763440860216	0.0	0.3333333333333333	0.0	0.0	0.0	0.13978494623655913	0.0	0.0	2
STU	HG03692	HG03692	0.0	0.0	0.40476190476190477	0.0	0.0	0.0	0.5952380952380952	0.0	0.0	0.0	0.0	0.0	4
ESN	HG02938	HG02938	0.6235294117647059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3764705882352941	0.0	0.0	2
CHS	HG00472	HG00472	0.2105263157894737	0.0	0.0	0.0	0.0	0.5368421052631579	0.10526315789473685	0.0	0.0	0.1473684210526316	0.0	0.0	4
CHB	NA18530	NA18530	0.0	0.0	0.0	0.0	0.6703296703296704	0.0	0.0	0.0	0.1208791208791209	0.0	0.0	0.2087912087912088	4
MSL	HG03052	HG03052	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
GBR	HG00101	HG00101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1
CEU	NA07048	NA07048	0.0	0.0	0.0	0.0	0.0	0.0	0.3555555555555556	0.0	0.0	0.0	0.6444444444444445	0.0	1
YRI	NA18510	NA18510	0.0	0.8372093023255813	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16279069767441862	2
ESN	HG02946	HG02946	0.35955056179775285	0.6404494382022472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
FIN	HG00176	HG00176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1
YRI	NA18511	NA18511	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
TSI	NA20529	NA20529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16304347826086954	0.0	0.0	0.6956521739130435	0.14130434782608695	1
PJL	HG02494	HG02494	0.0	0.0	0.22471910112359553	0.0	0.0	0.0	0.0	0.0	0.46067415730337075	0.31460674157303375	0.0	0.0	4
KHV	HG01857	HG01857	0.0	0.0	0.0	0.0	0.69	0.0	0.0	0.0	0.0	0.31	0.0	0.0	4
TSI	NA20514	NA20514	0.0	0.0	0.0	0.6063829787234042	0.0	0.39361702127659576	0.0	0.0	0.0	0.0	0.0	0.0	1
IBS	HG01503	HG01503	0.0	0.0	0.10101010101010101	0.3131313131313131	0.0	0.0	0.0	0.0	0.4444444444444444	0.0	0.1414141414141414	0.0	1
KHV	HG01847	HG01847	0.0	0.0	0.0	0.0	0.0	0.0	0.391304347826087	0.14130434782608697	0.0	0.2173913043478261	0.0	0.25000000000000006	4
